COURSE NUMBER,COURSE TITLE,MINIMUM CREDITS,MAXIMUM CREDITS,GRADING METHOD,GEN_EDS FULFILLED,SECTION ID,INSTRUCTOR,TOTAL SEATS,OPEN SEATS,WAITLIST COUNT,LECTURE TIME,2ND LISTED LECTURE TIME,3RD LISTED LECTURE TIME,DISCUSSION TIME,2ND LISTED DISCUSSION TIME,LAB TIME,2ND LISTED LAB TIME,LECTURE ROOM,2ND LISTED LECTURE ROOM,3RD LISTED LECTURE ROOM,DISCUSSION ROOM,2ND LISTED DISCUSSION ROOM,LAB ROOM,2ND LISTED LAB ROOM,UNSPECIFIED TIME MESSAGE,HAS LECTURE,HAS 2ND LISTED LECTURE,HAS 3RD LISTED LECTURE,HAS DISCUSSION,HAS 2ND LISTED DISCUSSION,HAS LAB,HAS 2ND LISTED LAB,IS NORMAL,IS BLENDED (NORMAL AND ONLINE),IS ONLINE,SPECIAL RESTRICTION,PREREQUISITE,COREQUISITE,RESTRICTION,CREDIT ONLY GRANTED FOR,FORMERLY,RECOMMENDED,CROSS-LISTED WITH,DESCRIPTION
"AAAS202","Black Culture in the United States","3","3","Reg, P-F, Aud","DSHS,DVUP","0401","Ashley Everson","35","0","0","TuTh 2:00pm-3:15pm","","","","","","","ESJ B0320","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP202 or AAAS202","AASP202","","","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of Black creative expression from the 19th-century to the present."
"AAAS202","Black Culture in the United States","3","3","Reg, P-F, Aud","DSHS,DVUP","0501","Ashley Everson","20","9","0","TuTh 3:30pm-4:45pm","","","","","","","KEY 0119","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP202 or AAAS202","AASP202","","","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of Black creative expression from the 19th-century to the present."
"AAAS202","Black Culture in the United States","3","3","Reg, P-F, Aud","DSHS,DVUP","0101","Robert Choflet","35","0","0","MW 11:00am-11:50am","F 11:00am-11:50am","","","","","","KEY 0103","ONLINE","","","","","","","1","1","0","0","0","0","0","1","1","1","","","","","AASP202 or AAAS202","AASP202","","","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of Black creative expression from the 19th-century to the present."
"AAAS202","Black Culture in the United States","3","3","Reg, P-F, Aud","DSHS,DVUP","0201","Robert Choflet","35","0","0","MW 1:00pm-1:50pm","F 1:00pm-1:50pm","","","","","","TYD 1102","ONLINE","","","","","","","1","1","0","0","0","0","0","1","1","1","","","","","AASP202 or AAAS202","AASP202","","","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of Black creative expression from the 19th-century to the present."
"AAAS210","Intro to Research Design and Analysis in African American and Africana Studies","3","3","Reg, P-F, Aud","","0101","Angelica Dunbar","20","14","0","TuTh 9:30am-10:45am","","","","","","","SQH 1123","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP210 or AAAS210","AASP210","","","Introduces students to quantitative and qualitative research methods used in social science with a focus on Black populations and African American Studies Research. Uses practical exercises, such as class surveys and mock focus groups, to examine fundamental concepts of the research process from conceptualization of research questions to interpretation of data and research articles. The course is designed for undergraduate students with little or no background knowledge in social science research methods."
"AAAS211","Get Out: The Sunken Place of Race Relations in the Post-Racial Era","3","3","Reg, P-F, Aud","DSHS,DVUP,SCIS","0101","Shane Walsh","30","0","0","MW 2:00pm-3:15pm","","","","","","","TLF 1103","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP211 or AAAS211","AASP211","","","Prevailing thought suggests that we live in an era that is post-racial, particularly after the election of Barack Obama. Media often serves to drive our assessment of where our nation stands on issues like race, gender and sexuality. This course uses the film Get Out to delve into the production, evolution and significance of race in present day America. The course will engage multiple forms of media to investigate life in ""Post-Racial"" America, including but not limited to the role of stereotypes, interracial relationships, police-community relations, etc."
"AAAS230","Social (In)Justice and African-American Health and Well-Being","3","3","Reg, P-F, Aud","DSHS,DVUP,SCIS","0201","Ashley Newby","30","1","2","TuTh 11:00am-12:15pm","","","","","","","SQH 2120","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP230 or AAAS230","AASP230","","","African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach."
"AAAS230","Social (In)Justice and African-American Health and Well-Being","3","3","Reg, P-F, Aud","DSHS,DVUP,SCIS","0101","Ashley Newby","30","0","1","MW 11:00am-11:50am","ONLINE","","","","","","TLF 1101","ONLINE","","","","","","ONLINE","1","1","0","0","0","0","0","1","1","1","","","","","AASP230 or AAAS230","AASP230","","","African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach."
"AAAS234","African-American Literature and Culture","3","3","Reg, P-F, Aud","DSHU,DVUP","0201","Mike Kolakoski","30","2","3","MWF 12:00pm-12:50pm","","","","","","","TWS 0234","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","ENGL234, AAAS234 or AASP298L","","","ENGL234","An exploration of the stories black authors tell about themselves, their communities, and the nation as informed by time and place, gender, sexuality, and class. African American perspective themes such as art, childhood, sexuality, marriage, alienation and mortality, as well as representations of slavery, Reconstruction, racial violence and the Nadir, legalized racism and segregation, black patriotism and black ex-patriots, the optimism of integration, and the prospects of a post-racial America."
"AAAS254","African-American History to 1865","3","3","Reg, P-F, Aud","DVUP","0101","Christopher Bonner","40","3","0","MW 2:00pm-3:15pm","","","","","","","SKN 0104","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","HIST254, AAAS254 or AASP298C","","","HIST254","Survey of the principal developments in the history and culture of the peoples of African descent in colonial North America and the United States to 1865. Examines the African past, the Atlantic slave trade, variation in slavery, the growth of free black communities, the transformations of families and cultural forms, and patterns of resistance."
"AAAS271","Monsters and Racism: Black Horror and Speculative Fiction","3","3","Reg, P-F","DSHU","0101","Sydney Lewis","30","0","0","MWF 11:00am-11:50am","","","","","","","SQH 1101","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAAS271, ENGL289J, HONR299Y, HNUH238W, WGSS271 or WGSS298W","HNUH238W","","WGSS271, ENGL289J","The previous decade has been considered a renaissance for Black Horror. From Get Out to Lovecraft Country, the genre has enjoyed unprecedented mainstream media buzz and accolades. This course looks at contemporary Black horror and speculative fiction as cultural texts which put into question our notions of human(e) and inhuman(e) through critiques of white supremacy and accompanying oppressions. Students will learn a host of critical skills through close reading and analysis of literature and film by Black creators such as Jordan Peele, Misha Green, Toni Morrison, Jewelle Gomez, and Octavia Butler. With the ability to interpret cultural texts using literary criticism, film analysis, history, cultural studies, ethnic studies, feminist theory, and the social sciences, students will connect these texts to continuing historical and contemporary issues of racial and cultural oppression such as medical discrimination, policing and criminalization, misogynoir, and racialized capitalism."
"AAAS310","African Slave Trade","3","3","Reg, P-F, Aud","","0101","George Kintiba","25","19","0","TuTh 3:30pm-4:45pm","","","","","","","TLF 0103","","","","","","","","1","0","0","0","0","0","0","1","0","0","","AAAS202 or AAAS100; or permission of BSOS-African American and Africana Studies department","","","AASP310 or AAAS310","AASP310","","","The relationship of the slave trade of Africans to the development of British capitalism and its industrial revolution; and to the economic and social development of the Americas."
"AAAS320","Poverty and African American Children","3","3","Reg, P-F, Aud","","0101","Cecily Jackson","25","0","0","TuTh 11:00am-12:15pm","","","","","","","JMZ 0120","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP320, AAAS320, AASP298P or SOCY320","AASP298P","","SOCY320","The United States has high levels of child poverty compared to other industrialized nations. Poverty rates are particularly high among African American children. This course focuses on how poverty and race intersect to influence the development of children and youth. Specific topics that we will consider include definitions of poverty, theories about the causes of poverty, racial disparities in child poverty, family functioning in the context of poverty, neighborhood influences, risk and protective processes, and social policies and programs designed to mitigate the impact of poverty."
"AAAS320","Poverty and African American Children","3","3","Reg, P-F, Aud","","0201","Cecily Jackson","25","17","0","TuTh 9:30am-10:45am","","","","","","","ESJ B0324","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP320, AAAS320, AASP298P or SOCY320","AASP298P","","SOCY320","The United States has high levels of child poverty compared to other industrialized nations. Poverty rates are particularly high among African American children. This course focuses on how poverty and race intersect to influence the development of children and youth. Specific topics that we will consider include definitions of poverty, theories about the causes of poverty, racial disparities in child poverty, family functioning in the context of poverty, neighborhood influences, risk and protective processes, and social policies and programs designed to mitigate the impact of poverty."
"AAAS325","Black Leadership and Social Organizations","3","3","Reg, P-F, Aud","","0101","Brandon Dula","20","6","0","MW 2:00pm-3:15pm","","","","","","","ANA 0120","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","","","","","An examination of Black social organizations as sites of leadership development, community formation, and social uplift in the United States. Students will explore the historical emergence, cultural significance, and contemporary roles of Black Greek Lettered Organizations (BGLOs) and other civic and fraternal institutions established within racially segregated contexts. The course situates these organizations within the broader context of American race relations, the history of higher education, and traditions of collective self-help and community empowerment. Students will reflect on how social organizations shape identity, networks, civic participation, and leadership pathways."
"AAAS350","Cinema of the Black Atlantic","3","3","Reg, P-F, Aud","","0101","John Drabinski","20","0","0","TuTh 12:30pm-1:45pm","","","","","","","TLF 1102","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAAS350, AASP350 or CINE350","AASP350","","CINE350","Examines cinema from the black Atlantic world, treating key films from Africa, the Caribbean, Latin America, and the United States. Anticolonial work by Ousmane Sembene and Sarah Maldoror, memory work by Haile Gerima and Julie Dash, and vernacular filmmaking by Charles Burnett, Spike Lee, Perry Henzell, Melvin Van Peebles, and others will introduce us to the varied concerns of Black filmmakers in moments of independence struggle and post-emancipation identity formation. While eclectic in selection, our examination of these films will be oriented around a pair of questions. What is antiblackness and how does cinema encounter, contemplate, and critique it? How do different geographies and historical experiences shift cultural and political concerns, as well as the methods of cinema along with those differing concerns?"
"AAAS361","Caribbean Women","3","3","Reg, P-F, Aud","","0101","Michelle Rowley","35","24","0","MW 2:00pm-3:15pm","","","","","","","SQH 1101","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAAS361 or WGSS360","WMST360","","AAAS361","An interdisciplinary analysis of the lives and experiences of women across the Caribbean region, through an examination of their roles in individual, national, social and cultural formations. Special emphasis on contemporary women's issues and organizations.The Caribbean is a place we believe we understand, but its complexity can slip past us. Caribbean Women offers a chance to explore the region through the perspectives, experiences, and histories of Caribbean women.The course is interdisciplinary, meaning we will examine questionsfrom the viewpoints of literature, politics, history, legislative activism, foodways, and music, among others. It places special emphasis on contemporary women's issues and organizations."
"AAAS386","Experiential Learning","3","6","Reg, P-F, Aud","","0101","Marshal Washington","10","10","0","F 2:00pm-4:30pm","","","","","","","TLF 1102","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department; and junior standing or higher","AASP386 or AAAS386","AASP386","","","Updating course code to align with department name change"
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0101","John Drabinski","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0201","Angelica Dunbar","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0301","Sharon Harley","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0401","Cecily Jackson","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0501","Sangeetha Madhavan","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0601","Ashley Newby","1","1","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0701","Chinyere Osuji","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0801","Periloux Peay","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS397","Senior Thesis","3","3","Reg, P-F, Aud","","0901","Joseph Richardson","2","2","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American and Africana Studies department","AASP397 or AAAS397","AASP397","","","Directed research in African American Studies resulting in the completion and defense of a senior thesis."
"AAAS398B","Selected Topics in the African Diaspora; Black Immigrants: Challenges and Impacts","3","3","Reg, P-F, Aud","","0101","Beka Guluma","20","14","0","TuTh 11:00am-12:15pm","","","","","","","TLF 1102","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","","","","","How does immigration affect Black communities in the United States? How are foreign Blacks affected by living in the United States? Students will learn about: US history of immigration policy; pull and push factors driving Black migration; comparisons in socioeconomic outcomes between foreign and native Blacks; and differences between 1st and 2nd generation Black immigrants."
"AAAS398W","Selected Topics in the African Diaspora; Menace 2 Society: Structural Racism in Nihilistic Urban and Brown Films","3","3","Reg, P-F, Aud","","0101","Jason Nichols","25","13","0","W 3:00pm-5:30pm","","","","","","","HBK 0125","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","",": AAAS398W, AMST328V, or USLT398B","","",": AMST328V and USLT398B",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0101","Robert Choflet","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0201","John Drabinski","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0301","Angelica Dunbar","4","3","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0401","Sharon Harley","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0501","Cecily Jackson","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0601","Cecily Jackson","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0701","Sharon Harley","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0801","George Kintiba","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","0901","Jason Nichols","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","1001","Ashley Newby","4","3","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","1101","Jason Nichols","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","1201","Joseph Richardson","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","1301","Shane Walsh","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","1401","Joseph Richardson","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS399","Research in African-American and Africana Studies","1","3","Reg, P-F, Aud","","1501","Shane Walsh","4","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AAAS400","Directed Readings in African American and Africana Studies","3","3","Reg, P-F, Aud","DSHS,DVUP","0101","Periloux Peay","25","21","0","TuTh 2:00pm-3:15pm","","","","","","","TLF 0103","","","","","","","","1","0","0","0","0","0","0","1","0","0","","AAAS202 or AAAS100","","","AASP400 or AAAS400","AASP400","","","The readings will be directed by the faculty of African American Studies. Topics to be covered will be chosen to meet the needs and interests of individual students."
"AAAS415","""Through The Wire"": The Politics and Policies of a Chocolate City","3","3","Reg, P-F, Aud","","0101","Periloux Peay","30","0","2","TuTh 9:30am-10:45am","","","","","","","TYD 1118","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAAS415 or GVPT368W","","AAAS101 or AAAS100","","We will use the HBO television series, The Wire, as a thread to integrate topics that form the basis of a thorough understanding of urban politics. Each week will have a different thematic focus - i.e., community development, inequality, crime, incarceration, policing, labor, education, and racial relations - and will couple scholarly work with in-class discussions to examine the social and political dynamics that emerge in the series. All of the assignments work together to expose students to social science, how social science is conducted, and how political science can help us better understand the world around us."
"AAAS499N","Advanced Topics in Public Policy and the Black Community; Media Coverage of Diversity","3","3","Reg, P-F, Aud","","0101","Anne Rosen","25","0","0","TuTh 9:30am-10:45am","","","","","","","KNI 3202","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","JOUR453 or AAAS499N","","","JOUR453","Analysis of media coverage of issues relating to diversity in the United States, with special attention to race, ethnicity, class, gender, sexual orientation and religious affiliation."
"AAST200","Introduction to Asian American Studies","3","3","Reg, P-F","DSHS,DVUP","0101","Jennifer Cho","25","0","9","TuTh 9:30am-10:45am","","","","","","","ARC 1105","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST200 or AMST298C","","","AMST298C","The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective."
"AAST200","Introduction to Asian American Studies","3","3","Reg, P-F","DSHS,DVUP","0102","Binod Paudyal","25","0","11","TuTh 11:00am-12:15pm","","","","","","","ESJ B0320","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST200 or AMST298C","","","AMST298C","The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective."
